NOMBRE,CALLE,COLONIA,ALCALDÍA,CP,CATEGORÍA,LATITUD,LONGITUD
Hotel Florida,Belisario Domínguez 57,Centro (Área 2),Cuauhtémoc,6010,2 Estrellas,19.437923,-99.135948
Hotel Gilbert,Amado Nervo 37,Santa María la Ribera,Cuauhtémoc,6400,2 Estrellas,19.443221,-99.157
Hotel Guadalajara,Rayón 54,Morelos,Cuauhtémoc,6200,2 Estrellas,19.444062,-99.136476
Hotel Habana,República de Cuba 77,Centro (Área 2),Cuauhtémoc,6010,2 Estrellas,19.436939,-99.135453
Hotel Hidalgo,Doctor Barragán 163,Doctores,Cuauhtémoc,6720,2 Estrellas,19.416413,-99.145009
Hotel Ibiza,Ponciano Arriaga 22,Tabacalera,Cuauhtémoc,6030,2 Estrellas,19.437488,-99.153684
Hotel Isabel,Isabel la Católica 63,Centro (Área 1),Cuauhtémoc,6000,2 Estrellas,19.429882,-99.137003
Hotel Jardines de Churubusco,Calzada de Tlalpan 1885,Churubusco Country Club,Coyoacán,4210,2 Estrellas,19.34943,-99.145816
Hotel Juárez,Primer callejón de 5 de Mayo 17,Centro (Área 1),Cuauhtémoc,6000,2 Estrellas,19.434498,-99.135625
Hotel La Fuente,Orozco y Berra 10,Guerrero,Cuauhtémoc,6300,2 Estrellas,19.439091,-99.149391
Hotel La Marina,Allende 30,Centro (Área 2),Cuauhtémoc,6010,2 Estrellas,19.43808,-99.137799
Hotel La Paloma,Orozco y Berra 187,Santa María la Ribera,Cuauhtémoc,6400,2 Estrellas,19.441251,-99.155943
Hotel La Raza,Avenida Insurgentes Norte 788,Santa María Insurgentes,Cuauhtémoc,6430,2 Estrellas,19.464329,-99.143881
Hotel La Villa,Calzada de Guadalupe 677,Aragón la Villa,Gustavo A. Madero,7000,2 Estrellas,19.460596,-99.126397
Hotel Lafayette,Motolinia  40,Centro (Área 1),Cuauhtémoc,6000,2 Estrellas,19.43255,-99.137358
Hotel Las Américas,Joaquín Arriaga 91,Obrera,Cuauhtémoc,6800,2 Estrellas,19.415677,-99.135026
Hotel Latino,Nezahualcóyotl 201 ,Centro (Área 9),Cuauhtémoc,6090,2 Estrellas,19.424887,-99.133365
Hotel Lavanda,Avenida Insurgentes Norte 1700,Lindavista,Gustavo A. Madero,7760,2 Estrellas,19.481735,-99.127403
